ano,num_torneos,torneos
2002,1,Hamburg Masters
2003,1,Wimbledon
2004,6,"Canada Masters, Australian Open, Wimbledon, US Open, Hamburg Masters, Indian Wells Masters"
2005,6,"Miami Masters, Cincinnati Masters, Wimbledon, US Open, Hamburg Masters, Indian Wells Masters"
2006,7,"Canada Masters, Miami Masters, Madrid Masters, Australian Open, Wimbledon, US Open, Indian Wells Masters"
2007,5,"Cincinnati Masters, Australian Open, Wimbledon, US Open, Hamburg Masters"
2008,1,US Open
2009,4,"Cincinnati Masters, Madrid Masters, Wimbledon, Roland Garros"
2010,2,"Cincinnati Masters, Australian Open"
2011,1,Paris Masters
2012,4,"Cincinnati Masters, Madrid Masters, Wimbledon, Indian Wells Masters"
2014,2,"Cincinnati Masters, Shanghai Masters"
2015,1,Cincinnati Masters
2017,5,"Miami Masters, Australian Open, Wimbledon, Shanghai Masters, Indian Wells Masters"
2018,1,Australian Open
2019,1,Miami Masters
